word,score,globalContribution,positionalContribution
soare,4.48518950088606,2.603555522704478,1.8816339781815814
saine,4.462359678649156,2.561391195145695,1.900968483503461
slane,4.411899448855406,2.5615619792485305,1.8503374696068757
saice,4.3977850768789875,2.5273005034712894,1.8704845734076985
slate,4.391721436318479,2.5861858816803935,1.8055355546380847
slier,4.378799462619618,2.584049991783716,1.7947494708359022
saint,4.363580375053861,2.562089774671826,1.8014906003820341
salet,4.345352890141022,2.5861858816803935,1.7591670084606283
saner,4.33624873485066,2.578034629414619,1.758214105436041
soily,4.3358845751696,2.5004277825377015,1.8354567926318988
sater,4.327353132554909,2.6026585318464823,1.7246946007084267
slart,4.320668949095378,2.6002932727056915,1.7203756763896862
crane,4.314233701746996,2.527932575366241,1.7863011263807547
slant,4.31312014526011,2.5622605587746614,1.7508595864854488
slice,4.30392240663163,2.51192658617828,1.7919958204533497
saute,4.303166783036383,2.534082064091412,1.7690847189449719
sorel,4.3019677320249965,2.5881816054114686,1.7137861266135281
soler,4.297434915625456,2.588181605411468,1.709253310213988
crate,4.294055689210068,2.5525564777981042,1.7414992114119636
slaty,4.291752833896622,2.5150754930755497,1.7766773408210719
coate,4.290052518892009,2.540044657156933,1.7500078617350758
arise,4.289564727952273,2.5994239090767253,1.6901408188755482
seity,4.285162798203919,2.5018960508204957,1.7832667473834225
suite,4.282360277147879,2.518537362695567,1.763822914452311
toise,4.282078694111603,2.5746020098094657,1.7074766843021374
trine,4.280860530906208,2.5711024680766656,1.7097580628295432
stare,4.27970261533304,2.6026585318464823,1.677044083486558
toile,4.278472281582422,2.5801507112004356,1.6983215703819865
arose,4.277158844801937,2.6035555227044775,1.6736033220974598
crise,4.276052594816841,2.5283992363443684,1.7476533584724727
share,4.275795924071041,2.5128258244023205,1.7629700996687196
stale,4.273768732492045,2.5861858816803935,1.6875828508116517
stane,4.272153811497772,2.5646258179154517,1.7075279935823207
raise,4.27128982837783,2.5994239090767253,1.671865919301104
crine,4.270831261293387,2.5123878739703964,1.7584433873229908
shale,4.269862041230045,2.4963531742362317,1.7735088669938133
snare,4.269668105677049,2.578034629414619,1.6916334762624303
trone,4.268454647755872,2.575234081704418,1.6932205660514548
raile,4.267683415848648,2.604972610467695,1.6627108053809532
raine,4.266068494854375,2.5834125467027533,1.6826559481516221
tiare,4.262794830414334,2.608036449134617,1.6547583812797173
roate,4.261171500719083,2.612168062762369,1.6490034379567144
trace,4.259688369589648,2.5525564777981042,1.7071318917915441
sauce,4.2587701938031435,2.475367469985143,1.7834027238180004
crone,4.258425378143051,2.5165194875981487,1.7419058905449023
caret,4.252556922208501,2.5525564777981042,1.7000004444103964
tarse,4.237708518663363,2.6026585318464823,1.635049986816881
stire,4.236300174879432,2.5871138304506376,1.6491863444287946
shier,4.235147133999985,2.497281123006476,1.7378660109935085
stoae,4.2343666405680604,2.5901467112053105,1.6442199293627504
sonce,4.233250256810699,2.4944981360410905,1.738752120769608
siler,4.232421141162765,2.584049991783716,1.6483711493790487
shire,4.232393483617432,2.497281123006476,1.7351123606109558
saury,4.230924996986723,2.476380486985736,1.7545445100009875
souce,4.23064877175117,2.4639543822170507,1.7666943895341198
stile,4.230366292038437,2.570641180284549,1.6597251117538883
carse,4.227679249050542,2.543943937740213,1.6837353113103286
sault,4.226180412972289,2.5317168049506216,1.694463608021667
shine,4.224844679782164,2.4592484090754456,1.7655962707067183
saunt,4.224565491978016,2.5101567411856798,1.714408750792336
ariel,4.224564467356846,2.604972610467695,1.619591856889151
carle,4.22407283652136,2.549492639131183,1.6745801973901777
store,4.223894291729096,2.59124544407839,1.6326488476507062
corey,4.223246201329967,2.4693344218990374,1.7539117794309302
shoer,4.222741250849648,2.5014127366342285,1.7213285142154198
carne,4.222457915527087,2.527932575366241,1.6945253401608467
shore,4.219987600467096,2.5014127366342285,1.7185748638328673
stole,4.217960408888101,2.574772793912301,1.6431876149757998
coast,4.216672561357095,2.5321306966251727,1.684541864731922
stone,4.216345487893828,2.5532127301473593,1.6631327577464687
trice,4.21628592913604,2.53701177640226,1.6792741527337807
aline,4.214598975915376,2.566939896536665,1.6476590793787103
prase,4.21437007396517,2.4952529647589796,1.71911710920619
snore,4.213859782073104,2.5666215416465263,1.6472382404265784
shone,4.212438796631828,2.463380022703198,1.7490587739286299
