word,score_guess_list,score_candidate_list
soare,4.302892168837781,4.48518950088606
saine,4.258886422963832,4.462359678649156
slane,4.039834954990538,4.411899448855406
saice,4.091999342190659,4.3977850768789875
slate,4.072224956293535,4.391721436318479
slier,4.0857138089814695,4.378799462619618
saint,4.085668099547147,4.363580375053861
salet,4.266145597621209,4.345352890141022
saner,4.302547611095474,4.33624873485066
soily,4.115710461606751,4.3358845751696
sater,4.242504789214092,4.327353132554909
slart,3.893087956901734,4.320668949095378
crane,3.896791033966097,4.314233701746996
slant,3.8666166315738524,4.31312014526011
slice,3.8331850949790316,4.30392240663163
saute,4.161831165570242,4.303166783036383
sorel,4.282884739453069,4.3019677320249965
soler,4.266689653129475,4.297434915625456
crate,3.929181035269094,4.294055689210068
slaty,3.944126711659779,4.291752833896622
coate,4.092439655326275,4.290052518892009
arise,3.9456653128069847,4.289564727952273
seity,4.090793547458657,4.285162798203919
suite,4.092537959897412,4.282360277147879
toise,4.07271164326874,4.282078694111603
trine,3.9269827121363976,4.280860530906208
stare,3.941574288049578,4.27970261533304
toile,4.097391974162518,4.278472281582422
arose,3.9454293446104693,4.277158844801937
crise,3.8394985658029253,4.276052594816841
share,3.9242918955633685,4.275795924071041
stale,3.9222536046906367,4.273768732492045
stane,3.9151029627216962,4.272153811497772
raise,4.112939886761078,4.27128982837783
crine,3.857028254727764,4.270831261293387
shale,3.904971212204427,4.269862041230045
snare,3.9715730171436983,4.269668105677049
trone,3.9267467439398818,4.268454647755872
raile,4.137620217654857,4.267683415848648
raine,4.130469575685916,4.266068494854375
tiare,4.067617062631396,4.262794830414334
roate,4.180393997534981,4.261171500719083
trace,3.7998584106015576,4.259688369589648
sauce,3.9625540834940725,4.2587701938031435
crone,3.8567922865312485,4.258425378143051
caret,4.137590434918343,4.252556922208501
tarse,4.127145984373406,4.237708518663363
stire,3.9018115088112446,4.236300174879432
shier,3.943699424226419,4.235147133999985
stoae,3.9879678240829843,4.2343666405680604
sonce,4.027790538400771,4.233250256810699
siler,4.1778312790010785,4.232421141162765
shire,3.8845291163250346,4.232393483617432
saury,4.027814244961371,4.230924996986723
souce,3.9403257248018067,4.23064877175117
stile,3.8824908254523027,4.230366292038437
carse,4.057191526964772,4.227679249050542
sault,3.9633734828194997,4.226180412972289
shine,3.8580577909971536,4.224844679782164
saunt,3.9562228408505598,4.224565491978016
ariel,3.977215694500926,4.224564467356846
carle,4.081871857858551,4.22407283652136
store,3.901575540614729,4.223894291729096
corey,4.160482155009007,4.223246201329967
shoer,3.9434634560299027,4.222741250849648
carne,4.0747212158896104,4.222457915527087
shore,3.8842931481285197,4.219987600467096
stole,3.882254857255788,4.217960408888101
coast,3.869301641681753,4.216672561357095
stone,3.8751042152868473,4.216345487893828
trice,3.7600956313632246,4.21628592913604
aline,3.889867733269642,4.214598975915376
prase,3.916861597576924,4.21437007396517
snore,3.9315742697088494,4.213859782073104
shone,3.857821822800638,4.212438796631828
coaly,3.939102051358462,4.211876850001353
torse,4.104917625681139,4.20958709661139
alose,3.8721020761482885,4.2074144262884925
slade,3.930223080036471,4.204696953450137
shite,3.8904477923001504,4.204666667245236
suint,3.88692963517773,4.20375898608951
carte,4.107111217192608,4.20227990299016
alone,3.889631765073127,4.2021930927650395
cline,3.7837009862655826,4.201086842779943
corse,4.0349631682725065,4.19955782699857
sonly,4.073730016509128,4.199471177153283
teary,3.9782209186438866,4.198911159020689
sient,3.956801802973377,4.19790738114502
paire,4.106586811340757,4.1974133555572894
sonar,4.157095318753926,4.197270155196211
souly,3.9862652029101637,4.196869692093755
sared,4.318513951093206,4.195365543148837
salty,4.107568135261718,4.195107268500824
paise,4.062585797088038,4.195085885245475
close,3.7659353291442286,4.1939022931530605
shote,3.890211824103635,4.1922607840949
brane,3.8608589202405916,4.191335664691891
soral,4.159660805803787,4.19111057442252
prate,3.9667812878047597,4.188970727904788
clone,3.783465018069067,4.188680959629607
roast,3.9572559838904597,4.1877915431841695
solar,4.143465719480194,4.18657775802298
siren,4.201268705016093,4.186460080413767
sacre,4.0405273372011585,4.185644922291365
roany,4.019905751598229,4.181380910834155
stary,3.8134760434158226,4.179734012911184
shart,3.751073572146683,4.177016620475744
liane,3.9951689355785174,4.1767789662887225
strae,4.0204097746919,4.174280926218184
baile,4.013733761720646,4.173666396966469
shalt,3.7317528887877414,4.171082737634749
prise,3.877098818338591,4.170967633511562
slain,3.886242329894997,4.170024504227047
shaly,3.7768729675706716,4.169893438808189
snary,3.8434747725099427,4.169699503255193
toney,4.156250184907617,4.169353670426685
poire,4.084358452648491,4.169291933505317
caner,4.086176421608853,4.1688385692288055
clote,3.8158550193720644,4.168502947092678
since,3.938932164272374,4.168236482348007
taler,4.142501279743754,4.168175441668395
sored,4.29628559240094,4.167244121096864
salue,4.098967881382405,4.166964864980157
poise,4.040357438395771,4.166964463193503
rainy,4.002371331052161,4.166099892432519
daine,4.035298790767168,4.165940828538021
shiel,3.8720784837662556,4.16506575271019
crost,3.6660442741897246,4.164867408071209
seral,4.109504532321637,4.16218173098804
cruet,3.7904522150599096,4.161915384898956
slide,3.8904603007981375,4.161294512996528
cause,3.8955402858557853,4.1611559634749105
rione,4.019146874668739,4.160527415189375
cater,4.026133599727469,4.159942966933054
coney,4.0862957274989835,4.159324400813865
reast,3.9070997104083087,4.1588626997496885
scare,3.841389773131246,4.158838548287917
saucy,3.8344558388603165,4.158801591381287
prose,3.876862850142075,4.158561750361226
crony,3.7286940418974925,4.158456775721194
ariot,3.8222031248458794,4.1582637214250955
prole,3.901543181035854,4.154955337832044
prone,3.8943925390669136,4.153340416837771
orate,3.9214560115172503,4.153319944376168
clart,3.676716767415112,4.153258783473523
brise,3.80356645207742,4.153154557761737
scale,3.822069089772305,4.152904665446922
sarge,4.093173169853267,4.1526323467004564
clary,3.721836846198042,4.152069484646963
socle,3.998978295149951,4.151589617398397
clast,3.6327157531623917,4.150931313161709
stair,3.8258889383948964,4.150854125307745
toner,4.13390252032522,4.150746416789653
spaer,3.925476615315723,4.1499702849744455
surat,4.031999226386267,4.14928854126353
coley,4.072666128225251,4.148632003640634
loast,3.89327929736539,4.148234770679571
saith,3.935261383282066,4.148174305949776
sarin,4.137499780280691,4.147993136520584
brine,3.8210961410022586,4.147933224238283
spare,3.8663063074143396,4.147216634591892
tuile,3.9208818684853677,4.146772314670045
roist,3.9174932046521262,4.14438910273056
touse,3.9432663845721527,4.143063811035759
spale,3.8469856240553986,4.141282751750897
brose,3.8033304838809046,4.140748674611401
spane,3.839834982086458,4.139667830756625
roily,3.987293614328835,4.139593391374819
plane,3.861064018039581,4.1394043219282715
samey,4.160102975100635,4.137538955769511
cruse,3.710053307106338,4.137037711740997
irate,3.8617800300246072,4.135559095430834
coure,3.917312941416239,4.1353620117347525
sloan,3.8978753063669314,4.134961163428474
ranse,4.070959441663455,4.134876430361513
lairy,3.964865969854973,4.134091923763189
shirt,3.7113107929083493,4.1336141800221355
trail,3.805910526587768,4.132881903879996
blaer,3.873173285007676,4.131893700396267
souct,3.767107401385121,4.131869468155874
surly,3.9714063383420006,4.13169301075701
shoat,3.797467108180089,4.131680645710764
saned,4.244327523583183,4.131443742632734
canoe,4.032761234910329,4.131235745602557
suent,3.869150071424623,4.131221188695335
drole,3.856726485790146,4.131031614648045
sager,4.05156072149523,4.1299157131928705
drone,3.8495758438212055,4.129416693653772
grate,3.8383829472698174,4.129300037546184
blare,3.814002977106292,4.129140050013715
rouet,4.041665177325797,4.129031196407972
sluit,3.758640478528285,4.1279789915995195
snirt,3.7585919144886795,4.127486361628145
blase,3.770001962853572,4.126812579701901
brace,3.693971839467419,4.126761062921723
shily,3.7371101883323377,4.12649099835458
maire,4.0780724741175,4.126278220958185
soapy,3.995789358183675,4.1259438554212196
shiny,3.7299595463633977,4.124876077360307
sayer,4.0596612279584114,4.124572847403658
maise,4.03407145986478,4.123950750646371
story,3.7734772959809737,4.12392568930724
boite,4.0167447623624355,4.123752041383296
sitar,4.008194122744147,4.123360778437768
clair,3.7342497411771167,4.123189597043524
senor,4.02630188300638,4.123019789679071
parse,4.094791779500437,4.122594287745262
sated,4.184284701701801,4.122548140336982
carny,3.946622971255855,4.122489313105231
short,3.711074824711834,4.121208296871799
alist,3.699119720928118,4.121041005843534
leary,3.9322441169188886,4.120444098730344
maile,4.058751790758558,4.1203443381171905
spate,3.8722249833894553,4.119489818219696
least,3.843123023883239,4.11930592724509
plate,3.8934540193425784,4.119226309391344
taser,4.105576460328861,4.119003421218566
parle,4.1194721103942165,4.118987875216081
porey,4.198082407544673,4.118161240024688
slime,3.842813020877417,4.117637274422535
riant,3.8859272986869025,4.117556435198024
trade,3.857133616420664,4.117060475954547
arsey,3.9786494357572377,4.116975286644295
slipe,3.8475389350597355,4.116768769194083
stony,3.747005970653092,4.116376885471971
diane,3.9639748371848382,4.116208072476966
reist,3.8673369311699752,4.11546025929608
scire,3.8016269938929126,4.1154361078343085
snort,3.758355946292164,4.115080478477808
sayne,3.9740195947291466,4.114270393185837
leant,3.8606527128080774,4.114084593721637
leany,3.9057727915910077,4.112895294895076
thale,3.758554480126439,4.112481145221011
goier,4.015130420014932,4.112374893529264
silen,4.113452678232337,4.111845882724433
grise,3.7487004778036486,4.111296943152956
thane,3.751403838157499,4.110866224226738
