position,letter,freq_guess_list,freq_candidate_list
1,a,0.058435438265786996,0.06090712742980561
1,b,0.06752389928638751,0.07473002159827213
1,c,0.06530227548135183,0.08552915766738661
1,d,0.04948162111215834,0.04794816414686825
1,e,0.022216238050356805,0.031101511879049675
1,f,0.043422647098424666,0.05874730021598272
1,g,0.046115524437861856,0.04967602591792657
1,h,0.03581526861451461,0.029805615550755938
1,i,0.01211794802746735,0.01468682505399568
1,j,0.015147435034334186,0.008639308855291577
1,k,0.028881109465463847,0.008639308855291577
1,l,0.042076208428706074,0.03801295896328294
1,m,0.06402315874511916,0.04622030237580994
1,n,0.03150666487141511,0.015982721382289417
1,o,0.02369732058704726,0.017710583153347732
1,p,0.07607378483910057,0.061339092872570194
1,q,0.006934159149050761,0.009935205183585313
1,r,0.05352093712131412,0.04535637149028078
1,s,0.11215834118755891,0.15809935205183584
1,t,0.05937794533459001,0.06436285097192225
1,u,0.014608859566446749,0.014254859611231102
1,v,0.01911942911000404,0.018574514038876888
1,w,0.029217719132893498,0.035853131749460046
1,x,0.001211794802746735,0
1,y,0.013800996364615592,0.002591792656587473
1,z,0.008213275885283425,0.0012958963282937365
2,a,0.18049010367577756,0.13131749460043196
2,b,0.00727076881648041,0.006911447084233261
2,c,0.013935640231587451,0.017278617710583154
2,d,0.00727076881648041,0.008639308855291577
2,e,0.12501683048337148,0.10453563714902808
2,f,0.0024909115389793995,0.0034557235421166306
2,g,0.006328261747677393,0.005183585313174946
2,h,0.040662447825501546,0.06220302375809935
2,i,0.10758044971051568,0.08725701943844492
2,j,0.0008751851353170863,0.0008639308855291577
2,k,0.007674700417395988,0.004319654427645789
2,l,0.0521071765181096,0.08682505399568034
2,m,0.01420492796553117,0.016414686825053995
2,n,0.02612091019254073,0.03758099352051836
2,o,0.16251514743503434,0.1205183585313175
2,p,0.0167631614379965,0.026349892008639308
2,q,0.0010771509357748754,0.0021598272138228943
2,r,0.06860105022216238,0.11533477321814255
2,s,0.007607378483910058,0.006911447084233261
